Species,longitude,latitude
Anolis_chlorocyanus,-71.5697,18.3237
Anolis_chlorocyanus,-68.6148,18.3741
Anolis_chlorocyanus,-70.3341,18.3764
Anolis_chlorocyanus,-70.5034,18.5266
Anolis_chlorocyanus,-68.7198,18.6165
Anolis_chlorocyanus,-68.4105,18.662
Anolis_chlorocyanus,-69.2015,18.7616
Anolis_chlorocyanus,-69.2041,18.7715
Anolis_chlorocyanus,-71.2668,18.8044
Anolis_chlorocyanus,-71.7048,18.853
Anolis_chlorocyanus,-70.3331,18.8551
Anolis_chlorocyanus,-71.6926,18.8737
Anolis_chlorocyanus,-69.026,18.9627
Anolis_chlorocyanus,-68.9028,18.9684
Anolis_chlorocyanus,-69.1153,18.99
Anolis_chlorocyanus,-69.4644,19.0805
Anolis_chlorocyanus,-69.5404,19.0814
Anolis_chlorocyanus,-69.5709,19.0869
Anolis_chlorocyanus,-70.5599,19.1659
Anolis_chlorocyanus,-70.5441,19.1744
Anolis_chlorocyanus,-70.2196,19.235
Anolis_chlorocyanus,-69.6373,19.2391
Anolis_chlorocyanus,-69.5951,19.2456
Anolis_chlorocyanus,-69.553,19.2723
Anolis_chlorocyanus,-71.6671,19.3412
Anolis_chlorocyanus,-69.8191,19.3516
Anolis_chlorocyanus,-71.6357,19.4833
Anolis_chlorocyanus,-70.631,19.5428
Anolis_chlorocyanus,-70.6295,19.5945
Anolis_chlorocyanus,-71.6905,19.6245
Anolis_chlorocyanus,-71.0556,19.6528
Anolis_chlorocyanus,-70.6127,19.6793
Anolis_chlorocyanus,-70.6073,19.6808
Anolis_chlorocyanus,-71.0556,19.6967
Anolis_chlorocyanus,-70.7102,19.7606
Anolis_chlorocyanus,-68.7167,18.1333
Anolis_chlorocyanus,-71.0919,18.1947
Anolis_chlorocyanus,-70.5353,18.2408
Anolis_chlorocyanus,-70.2283,18.2411
Anolis_chlorocyanus,-71.1942,18.2464
Anolis_chlorocyanus,-71.2281,18.2464
Anolis_chlorocyanus,-70.555,18.2825
Anolis_chlorocyanus,-70.1894,18.3006
Anolis_chlorocyanus,-71.5667,18.3167
Anolis_chlorocyanus,-70.9042,18.3228
Anolis_chlorocyanus,-70.8523,18.35
Anolis_chlorocyanus,-70.4911,18.3536
Anolis_chlorocyanus,-68.6086,18.3764
Anolis_chlorocyanus,-70.4256,18.3831
Anolis_chlorocyanus,-68.6054,18.3885
Anolis_chlorocyanus,-70.0785,18.3961
Anolis_chlorocyanus,-70.1044,18.3975
Anolis_chlorocyanus,-71.5833,18.4
Anolis_chlorocyanus,-68.8833,18.4
Anolis_chlorocyanus,-70.0866,18.4039
Anolis_chlorocyanus,-68.9375,18.4117
Anolis_chlorocyanus,-70.1089,18.4125
Anolis_chlorocyanus,-68.9761,18.4164
Anolis_chlorocyanus,-68.9761,18.4164
Anolis_chlorocyanus,-68.9667,18.4167
Anolis_chlorocyanus,-68.9656,18.4175
Anolis_chlorocyanus,-71.1167,18.4333
Anolis_chlorocyanus,-69.9322,18.4436
Anolis_chlorocyanus,-70.1933,18.4436
Anolis_chlorocyanus,-69.096,18.449
Anolis_chlorocyanus,-69.5905,18.45
Anolis_chlorocyanus,-71.0667,18.45
Anolis_chlorocyanus,-69.5915,18.45
Anolis_chlorocyanus,-69.6833,18.45
Anolis_chlorocyanus,-69.6078,18.4506
Anolis_chlorocyanus,-69.6892,18.4514
Anolis_chlorocyanus,-71.0951,18.4539
Anolis_chlorocyanus,-69.9,18.4667
Anolis_chlorocyanus,-69.3111,18.4681
Anolis_chlorocyanus,-69.8967,18.4767
Anolis_chlorocyanus,-69.8967,18.4767
Anolis_chlorocyanus,-71.4267,18.4792
Anolis_chlorocyanus,-70.2335,18.4819
Anolis_chlorocyanus,-69.8533,18.4865
Anolis_chlorocyanus,-69.85,18.5
Anolis_chlorocyanus,-69.85,18.5
Anolis_chlorocyanus,-69.7321,18.5193
Anolis_chlorocyanus,-71.9725,18.527
Anolis_chlorocyanus,-70.5033,18.5281
Anolis_chlorocyanus,-70.4924,18.5325
Anolis_chlorocyanus,-70.5036,18.5333
Anolis_chlorocyanus,-72.3333,18.5333
Anolis_chlorocyanus,-72.3344,18.5383
Anolis_chlorocyanus,-72.3344,18.5383
Anolis_chlorocyanus,-70.5031,18.5436
Anolis_chlorocyanus,-70.5,18.55
Anolis_chlorocyanus,-72.333,18.55
Anolis_chlorocyanus,-70.4975,18.5553
Anolis_chlorocyanus,-69.6859,18.5634
Anolis_chlorocyanus,-69.75,18.5667
Anolis_chlorocyanus,-71.7361,18.5681
Anolis_chlorocyanus,-70.7667,18.5695
Anolis_chlorocyanus,-72,18.5833
Anolis_chlorocyanus,-71.9103,18.5897
Anolis_chlorocyanus,-71.7747,18.6047
Anolis_chlorocyanus,-68.7,18.6167
Anolis_chlorocyanus,-70.45,18.6167
Anolis_chlorocyanus,-68.6933,18.6231
Anolis_chlorocyanus,-68.6892,18.6269
Anolis_chlorocyanus,-70.4528,18.6314
Anolis_chlorocyanus,-71.7744,18.6369
Anolis_chlorocyanus,-70.7607,18.6434
Anolis_chlorocyanus,-72.05,18.65
Anolis_chlorocyanus,-72.0333,18.65
Anolis_chlorocyanus,-72.0906,18.6503
Anolis_chlorocyanus,-72.1442,18.6564
Anolis_chlorocyanus,-72.0909,18.6572
Anolis_chlorocyanus,-72.1241,18.6667
Anolis_chlorocyanus,-68.9069,18.6675
Anolis_chlorocyanus,-72.1712,18.6798
Anolis_chlorocyanus,-71.4667,18.6833
Anolis_chlorocyanus,-72.404,18.7283
Anolis_chlorocyanus,-72.1593,18.7285
Anolis_chlorocyanus,-70.9383,18.7331
Anolis_chlorocyanus,-69.9966,18.7475
Anolis_chlorocyanus,-69.6167,18.75
Anolis_chlorocyanus,-69.0408,18.7658
Anolis_chlorocyanus,-72.5221,18.7718
Anolis_chlorocyanus,-73.0581,18.7792
Anolis_chlorocyanus,-71.2528,18.7815
Anolis_chlorocyanus,-71.8208,18.7989
Anolis_chlorocyanus,-71.821,18.799
Anolis_chlorocyanus,-71.2333,18.8
Anolis_chlorocyanus,-69.4167,18.8
Anolis_chlorocyanus,-73.1,18.8
Anolis_chlorocyanus,-72.9836,18.8061
Anolis_chlorocyanus,-72.8633,18.8286
Anolis_chlorocyanus,-72.8667,18.8333
Anolis_chlorocyanus,-72.0667,18.85
Anolis_chlorocyanus,-72.0833,18.8667
Anolis_chlorocyanus,-70.7392,18.9064
Anolis_chlorocyanus,-72.705,18.9486
