Species,longitude,latitude
coelestinus,-71.7209,18.1117
coelestinus,-71.2744,18.091
coelestinus,-71.1662,18.0579
coelestinus,-71.1521,17.999
coelestinus,-71.0883,18.2018
coelestinus,-74.3986,18.3233
coelestinus,-74.2167,18.5833
coelestinus,-74.1667,18.6333
coelestinus,-74.1169,18.6403
coelestinus,-74.1167,18.4833
coelestinus,-74.1,18.5167
coelestinus,-73.9,18.45
coelestinus,-73.8833,18.4333
coelestinus,-73.8778,18.3606
coelestinus,-73.8681,18.3247
coelestinus,-73.8681,18.3247
coelestinus,-73.8667,18.3167
coelestinus,-73.75,18.2
coelestinus,-73.65,18.3
coelestinus,-73.4,18.2833
coelestinus,-73.2333,18.35
coelestinus,-73.0867,18.4392
coelestinus,-72.9942,18.4178
coelestinus,-72.6297,18.5069
coelestinus,-72.5372,18.235
coelestinus,-72.5308,18.2319
coelestinus,-72.417,18.533
coelestinus,-72.4,18.5333
coelestinus,-72.3333,18.5333
coelestinus,-72.2833,18.5167
coelestinus,-72.2808,18.5125
coelestinus,-72.083,18.3
coelestinus,-71.9833,18.2833
coelestinus,-71.8444,18.2347
coelestinus,-71.7517,18.0336
coelestinus,-71.75,18.0333
coelestinus,-71.3969,17.7883
coelestinus,-71.3667,17.7833
coelestinus,-71.2817,18.1072
coelestinus,-71.1883,17.955
coelestinus,-71.1833,17.9667
coelestinus,-71.1706,17.99
coelestinus,-71.1,18.2167
coelestinus,-74.4233,18.5589
coelestinus,-74.1833,18.6333
coelestinus,-74.1201,18.4975
coelestinus,-74.1,18.5438
coelestinus,-74.0333,18.4
coelestinus,-73.9667,18.2833
coelestinus,-73.9333,18.1167
coelestinus,-73.7978,18.6031
coelestinus,-73.7494,18.1922
coelestinus,-73.7494,18.1922
coelestinus,-73.7453,18.6119
coelestinus,-73.4,18.2167
coelestinus,-73.35,18.2855
coelestinus,-73.0742,18.3587
coelestinus,-72.8093,18.4333
coelestinus,-72.7428,18.4167
coelestinus,-72.6458,18.5186
coelestinus,-72.6458,18.5186
coelestinus,-72.4916,18.235
coelestinus,-72.3543,18.2333
coelestinus,-72.3471,18.2333
coelestinus,-72.3333,18.5
coelestinus,-72.2941,18.5064
coelestinus,-72.2878,18.4111
coelestinus,-72.2779,18.5042
coelestinus,-71.9,18.2
coelestinus,-71.7275,18.0278
coelestinus,-71.7266,18.2564
